title,genres,release_date,release_country,review_rating,movie_run_time,cast,language,filming_locations
The Demented (2013),Horror,20-08-2013,Taiwan,3.9,92 min,Kayla Ewell|Richard Kohnke|Ashlee Brian|Brittney Barlow|Sarah Butler|Michael Welch|Chris Ashworth|Jesse Brooks|Ashleigh Dejon|Kerry Kelly Gridley|Emmanuel King|Joy Kate Lawson|Alexandra Lucchesi|Kristen Merritt|Tien Pham,English,"Baton Rouge, Louisiana, USA"
Hotel of the Damned (2016),Horror| Thriller,09-12-2016,USA,4.6,84 min,Peter Dobson|Manuela Harabor|Oltin Hurezeanu|Florin Kevorkian|Roxana Luca|Louis Mandylor|Bogdan Marhodin|Natalia Mateut|Valentin Petrisor|Dimitrina Zhivkova,English,Romania
House of Flesh Mannequins (2009),Drama| Horror| Mystery| Thriller,01-04-2016,USA,3.4,100 min,Domiziano Arcangeli|Irena Violette|Giovanni Lombardo Radice|Roberta Gemma|Raffaella Baracchi|Armando Pizzuti|Jerred Berg|Hal Alpert|Diego Artioli|Lucia Batassa|Edoardo Beghi|Drevon Cooks|Jeff Doba|Michael Garamendi|Lejla Hadzimuratovic,English,"Los Angeles, California, USA"
The Creature Below (2016),Horror| Sci-Fi,28-02-2017,USA,3.5,83 min,Anna Dawson|Michaela Longden|Daniel Thrace|Johnny Vivash|Zacharee Lee|Libby Wattis|David Shackleton|Cal O'Connell|Lyndsey Craine|Paul Toy|Natalie Roe|Simon Brodie|Harry Caspian Lee|Paul Butler|Dave Jameson,English,"Hull, East Riding of Yorkshire, England, UK"
Mysterious Island (2012),Adventure| Horror| Sci-Fi,11-02-2013,USA,3.5,91 min,Gina Holden|Lochlyn Munro|Pruitt Taylor Vince|Susie Abromeit|Mark Sheppard|J.D. Evermore|Edrick Browne|Caleb Michaelson|William Morgan Sheppard|Luke Hawx|Tony Senzamici|Jacob Tolano|Lawrence Turner|Eric VanArsdale,English,"St. Amant, Louisiana, USA"
Sleepaway Camp IV: The Survivor (2012),Horror,23-03-2012,USA,1.7,70 min,Carrie Chambers|Victor Campos|John Lodico|Felissa Rose|Jonathan Tiersten|Karen Fields|Christopher Collet|Mike Kellin|Katherine Kamhi|Loris Sallahian|John Dunn|Desiree Gould|Owen Hughes|Robert Earl Jones|Paul DeAngelo,English,"New Jersey, USA"
Compulsion (2016),Fantasy| Horror| Thriller,19-11-2016,Italy,6.4,84 min,Analeigh Tipton|Marta Gastini|Nina Senicar|Jan Bijvoet|Jakob Cedergren|Valentin Merlet|Anita Kravos|Magdalena Grochowska|James Khanlarian|Pietro Giunti|Franco Barbero|Luca Busnengo|Denitza Diakovska|Eleonora Haerens|Marco Tunesi,English,Italy
Still/Born (2017),Horror| Thriller,01-01-2017,Canada,6.2,87 min,Christie Burke|Jesse Moss|Rebecca Olson|Jenn Griffin|Sheila McCarthy|Sean Rogerson|Dylan Playfair|Praneet Akilla|Pat Chau|Grace Christensen|Michael Ironside|Maddox Laloge|Paige Laloge|Naddine Madell|Barb Mitchell,English,"Calgary, Alberta, Canada"
Osombie (2012),Action| Horror,10-08-2013,Japan,3.6,92 min,Corey Sevier|Eve Mauro|Jasen Wade|Danielle Chuchran|Paul D. Hunt|Matthew Reese|William Rubio|Ben Urie|Walter A. Carmona|Danny James|Jeff Kirkham|Kevin Lyde|James Gaisford|Mike Black|Moises L. Tovar,English,"Utah, USA"
Hallows' Eve (2014),Horror,14-10-2014,Canada,3.3,78 min,Danielle Harris|Raymond Mamrak|Courtney Baxter|Ashley C. Williams|Tiffany Shepis|Chance Michael Corbitt|Josh Flitter|Ricky Rude|James Bagnell|Blake Baxter|Nikki Bell|Michelle Bergh|Kelly Boeckle|Dylan Caltabiano|Beth Campbell,English,"Kennett Square, Pennsylvania, USA"
Fire City: End of Days (2015),Fantasy| Horror| Thriller,22-06-2015,USA,4.9,101 min,Tobias Jelinek|Danielle Chuchran|Keely Aloña|Kimberly Leemans|Eric Edwards|Simon Sorrells|Pelé Kizy|Brionne Davis|Derrick L. McMillon|Kristin Minter|Harry Shum Jr.|Jen Oda|Bob Burns|Kathy Burns|Connor Woodruff,English,"Los Angeles, California, USA"
Darker Than Night (2014),Horror,26-09-2014,USA,4.2,110 min,Zuria Vega|Adriana Louvier|Eréndira Ibarra|Ona Casamiquela|Margarita Sanz|Lucía Guilmáin|José María Torre|Miguel Rodarte|Sara Manni|Karla Cruz|Hernán Mendoza|Daniel Villar|Macarena Escobedo|Marcel Ferrer|Leonardo Zimbrón,Spanish,"Mexico City, Distrito Federal, Mexico"
The Sleeper (2012),Horror| Thriller,31-01-2012,USA,4,90 min,Brittany Belland|Ray Goodwin|Jason Jay Crabtree|Elizabeth Lane|Jenna Fournier|Riana Ballo|Jessica Cameron|Tiffany Arnold|Ali Ferda|Kendra Stevenson|Beverly Kristy|Paul Moon|Eric Sarich|Aaron Russell|John Bloom,English,"Springfield, Ohio, USA"
Bloody Crayons (2017),Horror| Mystery| Thriller,21-07-2017,USA,7.1,109 min,Ronnie Alonte|Janella Salvador|Elmo Magalona|Sofia Andres|Diego Loyzaga|Jane Oineza|Maris Racal|Yves Flores|Empoy Marquez|Nanding Josef|Marc Abaya|Sarah Jane Abad,Filipino|Tagalog,"Lian, Batangas, Philippines"
American Poltergeist 3 (2015),Horror,01-01-2015,USA,7,84 min,Whitney Anderson|Yeniffer Behrens|Mauricio Mendoza|Christopher Allen-Nelson|Kara Luiz|Michael G. Coleman|Caroline Mann|Paul Dietz|Mike Jerome Putnam|Douglas Tait|Esther Villatoro|Mike Quiroga|Adam Clarke|Jimmy Dux|Mar Garcia,English,"Linda Vista Hospital - 610 S. St. Louis Street, Los Angeles, California, USA"
Tulpa - Perdizioni mortali (2012),Horror| Thriller,20-06-2013,Italy,4.7,84 min,Claudia Gerini|Michela Cescon|Ivan Franek|Giorgia Sinicorni|Nuot Arquint|Laurence Belgrave|Giulia Bertinelli|Yohann Chopin|Cristian Di Sante|Pierpaolo Lovino|Michele Placido|Crisula Stafida|Ennio Tozzi,Italian,"EUR, Rome, Lazio, Italy"
Slink (2013),Horror| Thriller,14-06-2013,USA,2.7,80 min,Julia Faye West|Dawna Lee Heising|Anthony Del Negro|Art Roberts|Danika Galindo|Jacqueline Larsen|David Saucedo|Tristan Alexander|Jade Bryce|Jael Lloyd|Cosondra Sjostrom|Marylyn Brooks|Samantha Poole|Geo Sargent|Emmanuelle Weisbach,English,"Hollywood, California, USA"
Skinwalker Ranch (2013),Horror| Mystery| Sci-Fi,30-10-2013,USA,5.1,86 min,Britani Bateman Underwood|Taylor Bateman|Steve Berg|Michael Black|Ken Bretschneider|Erin Cahill|Carol Call|Kyle Davis|Richard Dutcher|Mike Flynn|Jon Gries|Michael Horse|Nash Lucas|Devin McGinn|Murphy Michaels,English,"Utah, USA"
All I Need (2016),Horror| Thriller,21-11-2016,UK,4.1,85 min,Caitlin Stasey|Markus Taylor|Leah McKendrick|Sorel Carradine|Rachel Melvin|JT Vancollie|Danielle Green|Holly Twyford|Bindu Mgolgi|John Towey|Gregory Lee Kenyon|Jonathan Erickson Eisley|Katie Owsley|Paul Louis Harrell|Kevin Cassidy,English,"Los Angeles, California, USA"
Heidi (2014),Horror,01-01-2017,USA,4.7,97 min,Samuel Brian|Joei Fulco|Joey Bell|Eva Falana|Elizabeth Callahan|Michael Monteiro|Marilyn Weinmann|Nicoleta Radu|Lindsey Cruz|Cazi Greene|Diem Bell|Ava Gianna|Carl Windom Carlito|Bobby Briggs|Ricky Leyva,English,"Las Vegas, Nevada, USA"
The Colony (2013),Action| Horror| Sci-Fi| Thriller,20-09-2013,USA,5.3,95 min,Kevin Zegers|Laurence Fishburne|Bill Paxton|Charlotte Sullivan|Dru Viergever|Atticus Mitchell|John Tench|Lisa Berry|Lucius Hoyos|Kimberly-Sue Murray|Michael Mando|Helen Taylor|Romano Orzari|John Healy|Kristin Shepherd,English,"North Bay, Ontario, Canada"
Cherry Tree Lane (2010),Horror| Thriller,29-01-2013,USA,5,77 min,Rachael Blake|Tom Butcher|Jumayn Hunter|Ashley Chin|Sonny Muslim|Jennie Jacques|Corinne Douglas|Kieran Dooner|Tom Kane,English,"Dukes Avenue, Muswell Hill, London, England, UK"
The Collection (2012),Horror,30-11-2012,USA,6.1,82 min,Josh Stewart|Emma Fitzpatrick|Christopher McDonald|Lee Tergesen|Tim Griffin|Andre Royo|Randall Archer|Shannon Kane|Brandon Molale|Erin Way|Johanna Braddy|Michael Nardelli|Will Peltz|Daniel Sharman|Justin Mortelliti,English,"Los Angeles, California, USA"
Asylum Blackout (2011),Horror| Thriller,04-05-2012,USA,5.6,85 min,Rupert Evans|Kenny Doughty|Joseph Kennedy|Dave Legeno|Richard Brake|Marcus Garvey|Anna Skellern|Darren Kent|Philippe Résimont|Claude Stark|Chuck Hargrove|Booker T. Franklin|Nina Newman|Bruce Geduldig|Sifiane El Asad,English,"Brussels, Brussels-Capital, Belgium"
A Girl Walks Home Alone at Night (2014),Drama| Horror,20-04-2015,USA,7,101 min,Sheila Vand|Arash Marandi|Marshall Manesh|Mozhan Marnò|Dominic Rains|Rome Shadanloo|Milad Eghbali|Reza Sixo Safai|Ray Haratian|Ana Lily Amirpour|Pej Vahdat|Masuka The Cat|Maruti Garikiparthi,Persian,"Taft, California, USA"
Vile (2011),Horror,24-07-2012,USA,5,90 min,Eric Jay Beck|April Matson|Akeem Smith|Greg Cipes|Maya Hazen|Elisha Skorman|Heidi Mueller|Rob Kirkland|McKenzie Westmore|Ian Bohen|Stefanie Kym|Maria Olsen|Maynard James Keenan|Mark Hengst|Kieron Elliott,English,"Los Angeles, California, USA"
Wish Upon (2017),Fantasy| Horror| Thriller,14-07-2017,USA,5.1,90 min,Joey King|Ryan Phillippe|Ki Hong Lee|Mitchell Slaggert|Shannon Purser|Sydney Park|Elisabeth Röhm|Josephine Langford|Alexander Nunez|Daniela Barbosa|Kevin Hanchard|Sherilyn Fenn|Raegan Revord|Alice Lee|Victor Sutton,English,"Toronto Ontario, Canada"
Crush (2013),Horror| Thriller,13-03-2013,Belgium,5.7,94 min,Ashleigh Craig|Cody Hamilton|Lucas Till|Crystal Reed|Isaiah Mustafa|Dan Metcalfe|Derrick Kemp|Preston Davis|Mariah Buzolin|Sarah Bolger|Holt McCallany|Camille Guaty|Caitriona Balfe|Leigh Whannell|Reid Ewing,English,"Los Angeles, California, USA"
Scary Movie 5 (2013),Comedy| Horror,12-04-2013,USA,3.5,88 min,Ashley Tisdale|Simon Rex|Gracie Whitton|Ava Kolker|Dylan Morris|Ryan Morris|Lidia Porto|Darrell Hammond|Snoop Dogg|Mac Miller|Erica Ash|J.P. Manoux|Molly Shannon|Josh Robert Thompson|Marisa Saks,English|Spanish|Latin,"Atlanta, Georgia, USA"
Bait (2012),Action| Horror| Sci-Fi,20-09-2012,Australia,5.2,93 min,Richard Brancatisano|Xavier Samuel|Chris Betts|Sharni Vinson|Simon Edds|Miranda Deakin|Julian McMahon|Dan Wyllie|Alice Parkinson|Phoebe Tonkin|Damien Garvey|Lincoln Lewis|Cariba Heine|Alex Russell|Adrian Pang,English,"Coolangatta, Queensland, Australia"
Prevenge (2016),Comedy| Drama| Fantasy| Horror| Thriller,24-03-2017,USA,5.9,88 min,Gemma Whelan|Kate Dickie|Alice Lowe|Jo Hartley|Kayvan Novak|Eileen Davies|Tom Davis|Tom Meeten|Mike Wozniak|Leila Hoffman|Dan Renton Skinner|Grace Calder|Sara Dee|Marc Bessant|Della Moon Synnott,English,"Cardiff, Wales, UK"
Devil's Gate (2017),Horror| Sci-Fi| Thriller,24-04-2017,USA,4,94 min,Milo Ventimiglia|Bridget Regan|Javier Botet|Shawn Ashmore|Amanda Schull|Jonathan Frakes|Adam Hurtig|Spencer Drever|Scott Johnson|Sarah Constible|Will Woytowich|Jean-François Ferland|Beverly Ndukwu|Jan Skene,English,"Winnipeg, Manitoba, Canada"
The Mind's Eye (2015),Action| Horror| Sci-Fi,05-08-2016,USA,4.5,87 min,Graham Skipper|Lauren Ashley Carter|John Speredakos|Larry Fessenden|Noah Segan|Matt Mercer|Michael A. LoCicero|Jeremy Gardner|Patrick M. Walsh|Brian Morvant|Josh Ethier|Susan T. Travers|Chuck Doherty|Jesse Dufault|Angella Lynsey Ford,English,"Rhode Island, USA"
A Dark Song (2016),Drama| Horror,28-04-2017,USA,6,100 min,Steve Oram|Catherine Walker|Susan Loughnane|Mark Huberman|Nathan Vos|Martina Nunvarova|Breffni O'Connor|Sheila Moloney,English,"Dublin, Ireland"
Temple (2017),History| Horror,01-09-2017,USA,3.7,78 min,Naoto Takenaka|Asahi Uchida|Logan Huffman|Brandon Sklenar|Natalia Warner,Japanese|English,"Tokyo, Japan"
The Ouija Experiment 2: Theatre of Death (2015),Horror,05-08-2015,Philippines,1.9,86 min,Justin Armstrong|Gerald Crum|Sally Greenland|Ty Larson|Swisyzinna|Shanon Snedden|Jessica Willis|Eric Window|Eric Zettina|Tom Zembrod|Israel Luna|Chaselyn Wade|Nicole Holt,English,"Wellington, Texas, USA"
Demon Inside (2013),Horror| Thriller,01-11-2013,Mexico,5,93 min,Paz Vega|Johanna Murillo|Alfonso Herrera|Maya Zapata|Gala Montes|María de Orduña|Yolanda Corrales|Dana Karvelas|Arnulfo Reyes Sanchez|Marco Trevio|Marco Treviño|Antonio de la Vega,Spanish,"Mexico City, Distrito Federal, Mexico"
Return to Return to Nuke 'Em High Aka Vol. 2 (2017),Action| Adventure| Comedy| Horror| Sci-Fi,15-01-2017,USA,7.5,72 min,Asta Paredes|Catherine Corcoran|Zac Amico|Vito Trigo|Lloyd Kaufman|Babette Bombshell|Tara E. Miller|Mike Baez|Mark Quinnette|Jim Sheppard|Reiki Tsuno|Josh Potter|Debbie Rochon|Clay von Carlowitz|Lauren Sylvester,English,"Niagara Falls, New York, USA"
The Dark Tapes (2016),Horror| Mystery| Sci-Fi| Thriller,18-04-2017,USA,5,98 min,David Banks|Sara Castro|Cortney Palm|David Rountree|Matt Magnusson|Ryan Allan Young|Shawn Lockie|Stephen Zimpel|Jo Galloway|Clint Keepin|Jonathan Biver|Brittany Fisheli|Emilia Ares Zoryan|Shane Hartline|Anna Rose Moore,English,"Los Angeles, California, USA"
"As Above, So Below (2014)",Horror| Mystery| Thriller,29-08-2014,USA,6.2,93 min,Perdita Weeks|Ben Feldman|Edwin Hodge|François Civil|Marion Lambert|Ali Marhyar|Cosme Castro|Hamid Djavadan|Théo Cholbi|Emy Lévy|Roger Van Hool|Olivia Csiky Trnka|Hellyette Bess|Aryan Rahimian|Samuel Aouizerate,English|French|Latin,"Church of St Eustache, Paris 1, Paris, France"
The Crucifixion (2017),Horror| Mystery| Thriller,06-10-2017,USA,5,90 min,Sophie Cookson|Corneliu Ulici|Brittany Ashworth|Matthew Zajac|Diana Vladu|Florian Voicu|Radu Bânzaru|Javier Botet|Iván González|Emil Mandanac|Radu Andrei Micu|Olivia Nita|Jeff Rawle|Alexis Rodney,English,"Bucharest, Romania"
Abraham Lincoln: Vampire Hunter (2012),Action| Fantasy| Horror| Western,22-06-2012,USA,5.9,105 min,Benjamin Walker|Dominic Cooper|Anthony Mackie|Mary Elizabeth Winstead|Rufus Sewell|Marton Csokas|Jimmi Simpson|Joseph Mawle|Robin McLeavy|Erin Wasson|John Rothman|Cameron M. Brown|Frank Brennan|Lux Haney-Jardine|Curtis Harris,English,"Second Line Stages, New Orleans, Louisiana, USA"
Cabin Fever 3: Patient Zero (2014),Horror| Sci-Fi| Thriller,06-02-2014,Germany,4.5,91 min,Sean Astin|Currie Graham|Ryan Donowho|Brando Eaton|Jillian Murray|Mitch Ryan|Solly Duran|Lydia Hearst|Claudette Lalí|Juan 'Papo' Bancalari|Marie Michelle Bazile|Roberto Linval|Magio Mojica|Omar Augusto Luis|Juan Burgos,English,Dominican Republic
You Can't Kill Stephen King (2012),Comedy| Horror,19-01-2013,Turkey,3.7,86 min,Monroe Mann|Ronnie Khalil|Crystal Arnette|Kayle Blogna|Kate Costello|Justin Brown|Polly Humphreys|Arthur S. Brown|Michael Bernstein|Jason Martin|Bill Steven McLean|John Mancini|Jeffrey R. Kelsey|Vanessa Leigh|Skylar Collins,English,"Maine, USA"
Armed Response (2017),Horror| Thriller,09-08-2017,Philippines,3.7,93 min,Wesley Snipes|Anne Heche|Dave Annable|Colby Lopez|Kyle Clements|Morgan Roberts|Eyas Younis|Mo Gallini|Mike Seal|John L. Armijo|Anthony Azizi|Cailey Fleming|Mustafa Harris|Elly Hebert|Ariadne Joseph,English,"New Orleans, Louisiana, USA"
The Damned (2013),Horror| Mystery| Thriller,29-08-2014,USA,5.2,87 min,Peter Facinelli|Sophia Myles|Nathalia Ramos|Sebastian Martínez|Carolina Guerra|Gustavo Angarita|Julieta Salazar|Juan Pablo Gamboa|Tatiana Renteria|Bianca Cereceda|Seygundiba Izquierdo,English|Spanish,"Bogotá, Colombia"
Frankenstein Created Bikers (2016),Action| Crime| Horror| Sci-Fi| Thriller,02-04-2016,USA,5.9,125 min,Jett Bryant|Laurence R. Harvey|Tristan Risk|Ellie Church|Madeline Brumby|Paul McComiskey|Billy Ratliff|Gia Nova|Jim Sligh|Jim Stacy|Shane Morton|Johnny Collins|Elizabeth Davidovich|Allison Maier|Diana Prince,English,"Atlanta, Georgia, USA"
The Conspiracy (2012),Horror| Thriller,08-08-2013,USA,6.3,84 min,Aaron Poole|James Gilbert|Ian Anderson|Peter Apostolopoulos|Roger Beck|Angela Besharah|Bruce Clayton|Laura de Carteret|Gavin Fox|Ron Kennell|Alina Lee|Ian Matthews|Adam Murciano|Douglas Nyback|Dennis O'Connor,English,"Toronto, Ontario, Canada"
Fear of Silent Hill (2016),Horror,21-02-2016,Denmark,4.8,48 min,Calle Papsoe|Svetlana Merlov Pittman|Saffron Rainsford|Matilda Westin,English|English,"Aarhus, Denmark"
Friend Request (2016),Horror| Thriller,22-09-2017,USA,5.4,92 min,Alycia Debnam-Carey|William Moseley|Connor Paolo|Brit Morgan|Brooke Markham|Sean Marquette|Liesl Ahlers|Shashawnee Hall|Susan Danford|Lee Raviv|Nicholas Pauling|David Butler|Julian Katz|Kiano Janse van Rensburg|Dorothy Ann Gould,English,"Cape Town, South Africa"
It (2017),Drama| Horror| Thriller,08-09-2017,USA,7.8,135 min,Jaeden Lieberher|Jeremy Ray Taylor|Sophia Lillis|Finn Wolfhard|Chosen Jacobs|Jack Dylan Grazer|Wyatt Oleff|Bill Skarsgård|Nicholas Hamilton|Jake Sim|Logan Thompson|Owen Teague|Jackson Robert Scott|Stephen Bogaert|Stuart Hughes,English,"Toronto, Ontario, Canada"
Silent House (2011),Drama| Horror| Mystery| Thriller,09-03-2012,USA,5.3,86 min,Elizabeth Olsen|Adam Trese|Eric Sheffer Stevens|Julia Chan|Adam Barnett|Haley Murphy,English,"New Rochelle, New York, USA"
Seed 2 (2014),Horror,28-10-2014,USA,2.2,78 min,Natalie Scheetz|Christa Campbell|Caroline Williams|Nick Principe|Annika Strauss|Manoush|Sarah Hayden|Jared Demetri Luciano|Jeff Dylan Graham|Ryan Nicholson|Micaela Schäfer|Wonkles|Wolfgang Meyer,English,"Los Angeles, California, USA"
Goodnight Mommy (2014),Horror| Mystery| Thriller,11-09-2015,USA,6.7,99 min,Lukas Schwarz|Elias Schwarz|Susanne Wuest|Hans Escher|Elfriede Schatz|Karl Purker|Georg Deliovsky|Christian Steindl|Christian Schatz|Erwin Schmalzbauer,German,"Schloßgasse 2 3824, Raabs an der Thaya, Austria"
Kruel (2015),Horror| Thriller,29-05-2015,USA,4.1,96 min,Kierney Nelson|Dakota Morrissiey|Adam Vernier|J.T. Chinn|Elizabeth Brewster|Ansley Gordon|Cooper Henderson|Keegan Henderson|Kenny Logsdon|Rita Manyette|Tom Riska|Tom Siedle|Matthew Weidle|Nicholas Williamson|Ericka Winterrowd,English,"Jacksonville, Florida, USA"
10 Cloverfield Lane (2016),Drama| Horror| Mystery| Sci-Fi| Thriller,11-03-2016,USA,7.2,104 min,John Goodman|Mary Elizabeth Winstead|John Gallagher Jr.|Douglas M. Griffin|Suzanne Cryer|Bradley Cooper|Sumalee Montano|Frank Mottek,English,"New Orleans, Louisiana, USA"
A Little Bit Zombie (2012),Comedy| Horror| Sci-Fi,08-06-2013,Japan,5.3,87 min,Kristopher Turner|Crystal Lowe|Shawn Roberts|Kristen Hager|Stephen McHattie|Emilie Ullerup|George Buza|Robert Maillet|Neil Whitely|Spider Allen|Melanie Rainville|Richard Rowntree|Trevor Martin|Christopher Bond|Rob Roy,English,"Sudbury, Ontario, Canada"
Julia (2014),Horror| Thriller,23-10-2015,USA,4.6,95 min,Ashley C. Williams|Tahyna MacManus|Jack Noseworthy|Joel de la Fuente|Cary Woodworth|Darren Lipari|Ryan Cooper|Brad Koed|Sean Kleier|Bridget Megan Clark|Chris Cardona|Kumiko Konishi|James Henry B.|Drew Bongianni|Andrew Breving,English,"New York City, New York, USA"
Gingerclown (2013),Comedy| Horror,11-11-2014,USA,3.2,83 min,Ashley Lloyd|Erin Hayes|Tim Curry|Lance Henriksen|Michael Winslow|Brad Dourif|Sean Young|Michael Cannell-Griffiths|András Koloszár|Joshua Brownwood|Nelson Matthews|Andrew Montesi|Dorottya Bokros|Dorottya Dióssi|Bernadett Fodor,English,"Budapest, Hungary"
Shadow People (2013),Horror| Thriller,19-03-2013,USA,5.4,89 min,Dallas Roberts|Alison Eastwood|Anne Dudek|Mariah Bonner|Mattie Liptak|Christopher Berry|Jonathan Baron|Tony Schiena|Ritchie Montgomery|Marco St. John|Han Soto|Billy Slaughter|Angelena Swords|Bryan Massey|Gary Grubbs,English,"Baton Rouge, Louisiana, USA"
Ghouls (2017),Action| Fantasy| Horror| Thriller,22-02-2017,Russia,4.2,90 min,Konstantin Kryukov|Mikhail Porechenkov|Aglaya Shilovskaya|Mikhail Zhigalov,Russian,"Crimea, Russia"
Villmark 2 (2015),Horror,09-10-2015,Norway,5.8,93 min,Ellen Dorrit Petersen|Anders Baasmo Christiansen|Tomas Norström|Baard Owe|Mads Sjøgård Pettersen|Renate Reinsve|Torstein Løning|Éva Magyar|Emese Nyírö|Márk Márfi|Szabolcs Szalay,Norwegian,"Kaupanger, Norway"
Blackwood (2014),Horror| Thriller,01-08-2014,UK,5.3,90 min,Ed Stoppard|Sophia Myles|Russell Tovey|Isaac Andrews|Paul Kaye|Greg Wise|Joanna Vanderham|Kenneth Collard|Anna Andresen|Harry Burton|Alan Drake|Sebastian Dunn|Luke Brandon Field|Melanie Gray|Eileen Nicholas,English,"Wales, UK"
The Human Race (2013),Action| Horror| Sci-Fi,13-06-2014,USA,5.5,87 min,Paul McCarthy-Boyington|Eddie McGee|Trista Robinson|T. Arthur Cottam|Brianna Lauren Jackson|Fred Coury|B. Anthony Cohen|Noel Britton|J. Louis Reid|Celine Tien|Ian Tien|Richard Gale|Luke Y. Thompson|Jonica Patella|Trip Hope,English,"Fred C. Nelles Correctional Facility, Whittier, California, USA"
Juan of the Dead (2011),Action| Comedy| Horror,13-01-2012,Spain,6.5,92 min,Alexis Díaz de Villegas|Jorge Molina|Andros Perugorría|Andrea Duro|Jazz Vilá|Eliecer Ramírez|Blanca Rosa Blanco|Susana Pous|Antonio Dechent|Eslinda Núñez|Elsa Camp|Pablo Alexandro González Ramy|Juan Miguel Mas|Argelio Sosa|Marisol Egurrola,Spanish|English,"Havana, Cuba"
The Zombie King (2013),Comedy| Horror,31-05-2013,Japan,3.6,85 min,Edward Furlong|Corey Feldman|George McCluskey|David McClelland|Michael Gamarano Singleton|Seb Castang|Rebecca-Clare Morgado|Jennifer Chippindale|Jon Campling|Timothy Owen|Anabel Barnston|Jane Foufas|Leo Horsfield|Sebastian Street|Tanya Katarina,English,"Shepton Mallet, Somerset, England, UK"
In Their Skin (2012),Horror| Thriller,09-11-2012,USA,5.3,97 min,Selma Blair|Joshua Close|James D'Arcy|Rachel Miner|Quinn Lord|Alex Ferris|Matt Bellefleur|Terence Kelly|Leanne Adachi|Brett Delaney|Debbe Hirata|Agam Darshi|Allie Bertram,English,"Langley, British Columbia, Canada"
Ravenswood (2017),Horror| Thriller,11-03-2017,USA,3,88 min,Madeline Marie Dona|Adam Horner|Shane Savage|Isabel Dickson|Jock Campbell|Ashley Fitzgerald|Jonathan Lane|Josie Waller|Kristy Wright|Celyren Phipps|Kathy Luu|Larissa Carnegie|Sarah Carter|Mark Duncan|Jade Harris,English,"Gledswood Homestead, Catherine Fields, NSW, Australia"
Bloody Bloody Bible Camp (2012),Comedy| Horror,05-05-2012,USA,5,90 min,Reggie Bannister|Tim Sullivan|Ron Jeremy|Ivet Corvea|Matt Aidan|Jessica Sonneborn|Deborah Venegas|Jeff Dylan Graham|Elissa Dowling|David C. Hayes|Daniel Schweiger|Christopher Raff|Chris Staviski|Jay Fields|Troy Guthrie,English,"Crestline, California, USA"
Ruin Me (2017),Horror| Thriller,26-10-2017,USA,7.6,87 min,Marcienne Dwyer|Matt Dellapina|Chris Hill|Eva Hamilton|John Odom|Sam Ashdown|Cameron Gordon|Rocky Rector|Tom Harryman|Alex Galick|Trenton Colbert|Traver Johnson|Jerry Maxwell|Tim Taylor|The After Effect,English,"Muskegon, Michigan, USA"
Another Evil (2016),Comedy| Horror,05-05-2017,USA,5.6,90 min,Dan Bakkedahl|Beck DeRobertis|Dax Flame|Jennifer Irwin|Steve Little|Mariko Munro|Mark Proksch|Steve Zissis,English,"Prescott, Arizona, USA"
Exorcist House of Evil (2016),Horror| Mystery| Thriller,02-05-2016,UK,4,93 min,Amy Holland Pennell|Connor Trinneer|Mark Holzum|Peter Mayer|Matuschka Lindo|Candice M. Coleman|Margaret Kimble|John Pierson|Ford Fanter|Hayden Benbenek|Judy Man|Tim Ezell|Amy Kate Connolly|Cara Barresi|Christopher Lawyer,English,"St. Louis, Missouri, USA"
Mischief Night (2014),Horror,20-05-2014,USA,4.8,88 min,Brooke Anne Smith|Marc Valera|Nikki Limo|Matt Angel|Malcolm McDowell|Erik Palladino|Daniel Brown|Braxton Davis|Jordan Levy|Lilly McDowell|Henry Mitz|Ben Sidell|Emelly Soto|Nathanael Soto|Billy Von Arx,English,"Calabasas, California, USA"
Antisocial (2013),Horror| Sci-Fi| Thriller,28-01-2014,USA,4.5,90 min,Michelle Mylett|Cody Ray Thompson|Adam Christie|Ana Alic|Romaine Waite|Ry Barrett|Eitan Shalmon|Laurel Brandes|Kate Vokral|Charlie Hamilton|Colin Murphy|Kirill Belousov|Leepy Hajra|Jeff Maher|Kelly Michael Stewart,English,"Guelph, Ontario, Canada"
Faraday (2013),Comedy| Fantasy| Horror,10-04-2015,Spain,4.3,82 min,Javier Bódalo|Diana Gómez|Daniela Costa|Alba García|Alejandro Tous|Ismael Martínez|Sonia Almarcha|Denny Horror|Arancha Del Sol|Alejandro Terzagui|Diana Lázaro|Micky|Ana de Armas|Ion Arretxe|Juan Carlos Mestre,Spanish,"Madrid, Spain"
Zombies Vs. Strippers (2012),Comedy| Horror,09-07-2012,USA,3.5,75 min,Circus-Szalewski|Eve Mauro|Victoria Levine|Adriana Sephora|Nihilist Gelo|Don Baldaramos|Tanner Horn|Brittany Gael Vaughn|Adam Brooks|Patrick Lazzara|Brad Potts|Jonathan Erickson Eisley|Paul Vinson|Chance A. Rearden|William Thomas Jones,English,"Los Angeles, California, USA"
Ozark Sharks (2016),Action| Horror| Sci-Fi| Thriller,30-07-2016,Poland,3.7,88 min,Allisyn Ashley Arm|Dave Davis|Michael Papajohn|Ross Britz|Ashton Leigh|Thomas Francis Murphy|Laura Cayouette|Becky Andrews|Tyrus Bazell|Jennifer Cocker|Danny Cosmo|Sharon Garrison|Amanda Martin|Heather Paige|Jeff Pearson,English,"Baton Rouge, Louisiana, USA"
