title,genres,release_date,release_country,review_rating,movie_run_time,cast,language,filming_locations
Night Terrors (2014),Comedy| Horror,24-11-2014,USA,6.9,98 min,Kaveh Akbar|Joe Bachan|Alyssa Benner|Phil Bontrager|Dave Butcher|Emmanuel Cervantes|Chris Copenhaver|Dominic Crawford|Georgia Crawford|Linda Crawford|David Downham|Brandon Edging|Allie Grimler|Richard Hackel|Evan Howard,English,"Lafayette, Indiana, USA"
All Sinner's Night (2014),Horror,09-06-2014,USA,1.9,90 min,Heather Anderson|Harry Bean|Dustin Boltjes|Zach Contos|John Dugan|John Haas|Anthony Hampton|Alison Hartung|Brad Hartung|Kyle Helsper|Brittany Jessee|Johnson John|Bill Levin|Sal Lizard|Brigid Macaulay,English,"8590 N. Kitchen Rd. Moooresville, Indiana, USA"
Nightcomer (2013),Horror| Thriller,01-01-2013,USA,7.4,91 min,Mackenzie Rosman|Timothy Busfield|Eric Gorlow|Roy Lee Jones|Larry Sullivan|Vince Corazza|Michael Adam Hamilton|Anthony De Longis|Curtis Nelson|Benedicte Westbye|Valmike Rampersad|Carlita Peñaherrera|Camille Balsamo|Lindsay Bushman|Chris Kos,English,"Santa Monica, California, USA"
Heavy Water (2014),Drama| Horror,01-01-2014,USA,9,93 min,Carter Jenkins|Jayson Warner Smith|Wes Watson|Sidney Allison|Jake Roberts|Mark Knapp|Alex Van|Kelly Collins Lintz|Christopher Marrone|Sadye Elizabeth|Marc Farley|Nina Brown|Nina Yong Brown|Anntoinette Johnson|Sunny Kelley,English,"Atlanta, Georgia, USA"
Hi-8 (Horror Independent 8) (2013),Comedy| Horror,10-11-2013,USA,5.1,98 min,Vanessa Nocera|Alaine Huntington|Mike Malloy|Andrea Adams|Ashley Andel|Kristin Avery|Kayla Barbour|Bobbi Beach|Olivia Blake|Mike Burnell|Jay Burris|Alexis Codding|Aiden Crain|Ava Cronin|Melanie Dean,English,"Los Angeles, California, USA"
Axed (2012),Drama| Horror| Thriller,19-02-2013,USA,3.7,84 min,Jonathan Hansler|Andrea Gordon|Nicola Posener|Christopher Rithin|Henry Douthwaite|Brandon Francis,English,"Lake District, Cumbria, England, UK"
Badass Monster Killer (2015),Action| Comedy| Horror,03-12-2015,USA,6.1,96 min,Jawara Duncan|Amelia Belle|Ryan Cicak|Stephanie Hyden|Tara Henry|Galen Howard|Rae Wright|Liz Clare|Courtney V. Smith|Joshua Lee|Dan Beard|Robert Michael Haley|West Ramsey|David Ainsworth|Julian 'Juice' Jefferson,English,"Sacramento, California, USA"
Corazon: Ang unang aswang (2012),Drama| Horror,14-03-2012,Philippines,6,101 min,Erich Gonzales|Derek Ramsay|Mark Gil|Tetchie Agbayani|Jeffrey Quizon|Maria Isabel Lopez|Bodjie Pascua|Mon Confiado|Mosang|Sharlene San Pedro|Dan Alvaro|Ermie Concepcion|Sue Prado|Laiza Comia|Johnny Barnes,Filipino|Tagalog,"Pinugay, Baras, Rizal, Philippines"
Kick (2015),Drama| Horror| Thriller,09-01-2015,USA,3.1,76 min,Daniel Bayle|Robert Bond|Alexander Bracq|Oliver Bury|Mark Chan|Chris Cowlin|Nigel Genis|John Heartstone|Celine Jedidi|Simone Kaye|Pete Lee-Wilson|Steve Lorrigan|Bharat Mistri|Kumud Pant|Nicola Posener,English,"London, England, UK"
Story of Eva (2015),Horror| Thriller,13-01-2015,USA,4.1,95 min,Nicole Rio|Ricco Ross|Steve Cozart|Eric Roberts|Daniel Quinn|Tim Powell|Sheri Kresnicka|Johnny Gilligan|Debbie Cooper|Laurie Cozart|Shawna Craig|Kale Flowers|Douglas Gawoski|Nicole R. Hughes|Gev Kalian,English,"Antioch, California, USA"
Face of Evil (2016),Horror| Thriller,22-09-2016,USA,8,90 min,Scott Baxter|Chad Bishop|Jamie Bernadette|Janet Roth|James Hutchinson|Christopher Thorpe|Charmane Star|Bryan Howard|David Alan Graf|Shobhit Agarwal|Gera Hermann|Kymedienne Jackson|Raven Hughes|Kathlyn Angelica|John Rhymes,English,"Los Angeles, California, USA"
Séance (2006),Horror,14-08-2013,Philippines,4.7,88 min,Bridget Shergalis|Tori White|Chauntal Lewis|Kandis Fay|Brandon Mychal Smith|Jack Hunter|Emily O'Brien|Joel Geist|A.J. Lamas|Adrian Paul|Ruby Garson|Andrew Welsh|Mike Kimmel|Kate Robbins|Martin Szumanski,English,"Cheyenne Studios - 27567 Fantastic Lane, Castaic, California, USA"
The Hunt (2012),Action| Horror| Thriller,24-07-2012,France,4.4,74 min,Guillaume Beylard|Zuriel De Peslouan|Sarah Lucide|Jellali Mouina|Enguerran Prieu,French,France
